media,title,description,url,date,year
detik,Purbaya Ogah APBN Ikut Nanggung Beban Utang Kereta Cepat,Menteri Keuangan Purbaya Yudhi Sadewa tidak mau Anggaran Pendapatan dan Belanja Negara (APBN) ikut menanggung beban utang proyek Kereta Cepat Jakarta-Bandung.,https://finance.detik.com/infrastruktur/d-8154984/purbaya-ogah-apbn-ikut-nanggung-beban-utang-kereta-cepat,"Jumat, 10 Okt 2025 17:48 WIB",2025
detik,Purbaya Pastikan Penggoreng Saham Dihukum!,Aksi menggoreng saham membuat Menteri Keuangan Purbaya Yudhi Sadewa geram.,https://finance.detik.com/bursa-dan-valas/d-8155213/purbaya-pastikan-penggoreng-saham-dihukum,"Jumat, 10 Okt 2025 20:12 WIB",2025
detik,Akal-akalan Pengusaha Kemplang Pajak Menurut Purbaya,"Menteri Keuangan Purbaya mengaku mendengar maraknya praktik pengusaha menghindari pajak, dengan memanfaatkan skema pajak penghasilan (PPh) final UMKM.",https://www.detik.com/kalimantan/bisnis/d-8155191/akal-akalan-pengusaha-kemplang-pajak-menurut-purbaya,"Jumat, 10 Okt 2025 21:30 WIB",2025
detik,Respons Purbaya soal Utang Pemerintah Capai Rp 9.138 Triliun,"Menteri Keuangan Purbaya Yudhi Sadewa mengatakan utang pemerintah yang mencapai Rp 9.138,05 triliun baru setara 39,86 persen terhadap PDB.",https://www.detik.com/bali/berita/d-8155351/respons-purbaya-soal-utang-pemerintah-capai-rp-9-138-triliun,"Jumat, 10 Okt 2025 22:32 WIB",2025
detik,Purbaya Ungkap Akal Bulus Pengusaha Kemplang Pajak,Menteri Keuangan Purbaya Yudhi Sadewa mengendus akal-akalan pengusaha menghindari pajak.,https://finance.detik.com/berita-ekonomi-bisnis/d-8155073/purbaya-ungkap-akal-bulus-pengusaha-kemplang-pajak,"Jumat, 10 Okt 2025 18:41 WIB",2025
detik,"Utang Pemerintah Tembus Rp 9.138 Triliun, Purbaya Buka Suara","Menteri Keuangan Purbaya Yudhi Sadewa buka suara soal utang pemerintah yang mencapai Rp 9.138,05 triliun per Juni 2025.",https://finance.detik.com/berita-ekonomi-bisnis/d-8155237/utang-pemerintah-tembus-rp-9-138-triliun-purbaya-buka-suara,"Jumat, 10 Okt 2025 20:28 WIB",2025
detik,Respons Purbaya soal Dana APBN Dipakai buat Perbaiki Pesantren,Menteri Keuangan Purbaya Yudhi Sadewa buka suara terkait perbaikan gedung Pondok Pesantren (Ponpes) Al-Khoziny menggunakan APBN.,https://finance.detik.com/infrastruktur/d-8155286/respons-purbaya-soal-dana-apbn-dipakai-buat-perbaiki-pesantren,"Jumat, 10 Okt 2025 20:58 WIB",2025
detik,"Purbaya Mau Guyur Bank Daerah, Bos OJK: Kami Dukung",Otoritas Jasa Keuangan (OJK) menyambut baik rencana pemerintah yang hendak mengalihkan sebagian dana 'nganggur' ke bank daerah.,https://finance.detik.com/moneter/d-8155008/purbaya-mau-guyur-bank-daerah-bos-ojk-kami-dukung,"Jumat, 10 Okt 2025 20:00 WIB",2025
detik,Purbaya Prediksi Ekonomi RI Tumbuh 6 % Tahun Depan,Menteri Keuangan Purbaya Yudhi Sadewa memperkirakan ekonomi Indonesia tumbuh 6% pada semester-II 2026.,https://finance.detik.com/berita-ekonomi-bisnis/d-8155148/purbaya-prediksi-ekonomi-ri-tumbuh-6-tahun-depan,"Jumat, 10 Okt 2025 19:45 WIB",2025
detik,Purbaya Jamin Tidak Ada Pesan Sponsor dalam APBN 2026,Menteri Keuangan Purbaya Yudhi Sadewa menegaskan tidak ada pesan khusus atau pesan sponsor dalam penyusunan Anggaran Pendapatan dan Belanja Negara (APBN) 2026.,https://finance.detik.com/berita-ekonomi-bisnis/d-8155040/purbaya-jamin-tidak-ada-pesan-sponsor-dalam-apbn-2026,"Jumat, 10 Okt 2025 18:05 WIB",2025
