media,title,description,url,date,year
kompas,Sederet Pekerjaan Rumah untuk Menteri Keuangan Baru Purbaya Yudhi Sadewa,Pekerjaan rumah untuk Menkeu baru tidak ringan. Tantangan terbesar yang dihadapi ialah mengembalikan kredibilitas fiskal yang sempat terganggu.,https://money.kompas.com/read/2025/09/10/080000926/sederet-pekerjaan-rumah-untuk-menteri-keuangan-baru-purbaya-yudhi-sadewa,10 September 2025,2025
kompas,Menteri Keuangan Purbaya Yudhi Sadewa Punya 3 Harta Properti,"Berdasarkan data LHKPN yang diunggah di situs elhkpn.kpk.go.id, Purbaya tercatat memiliki total kekayaan sebesar Rp 39,21 miliar.",https://www.kompas.com/properti/read/2025/09/08/203320221/menteri-keuangan-purbaya-yudhi-sadewa-punya-3-harta-properti,8 September 2025,2025
kompas,Sri Mulyani Digantikan Purbaya Yudhi Sadewa karena Ajukan Resign?,"Mensesneg Prasetyo Hadi menjelaskan reshuffle menteri oleh Prabowo, tanpa mengungkap alasan Sri Mulyani diganti.",https://nasional.kompas.com/read/2025/09/08/17073991/sri-mulyani-digantikan-purbaya-yudhi-sadewa-karena-ajukan-resign,8 September 2025,2025
kompas,"Sah, Purbaya Yudhi Sadewa Gantikan Sri Mulyani Jadi Menteri Keuangan","Presiden Prabowo Subianto melantik enam menteri baru, termasuk Purbaya Yudhi Sadewa sebagai Menteri Keuangan menggantikan Sri Mulyani.",https://money.kompas.com/read/2025/09/08/162414826/sah-purbaya-yudhi-sadewa-gantikan-sri-mulyani-jadi-menteri-keuangan,8 September 2025,2025
kompas,Menteri Keuangan Baru Purbaya Yudhi Sadewa: Koleksi Mobil dan Motor,"Purbaya Yudhi Sadewa resmi dilantik sebagai Menteri Keuangan, menggantikan Sri Mulyani. Simak profil dan harta kekayaannya!",https://otomotif.kompas.com/read/2025/09/09/070200815/menteri-keuangan-baru-purbaya-yudhi-sadewa--koleksi-mobil-dan-motor-,9 September 2025,2025
kompas,"Purbaya Yudhi Sadewa Gantikan Sri Mulyani, Jokowi Berikan Dukungan","Presiden ke-7 Republik Indonesia, Joko Widodo (Jokowi) berikan tanggapan soal reshuffle kabinet yang dilakukan Presiden Prabowo Subianto.",https://www.kompas.com/sumatera-selatan/read/2025/09/12/173542688/purbaya-yudhi-sadewa-gantikan-sri-mulyani-jokowi-berikan,12 September 2025,2025
kompas,"Profil Pendidikan Purbaya Yudhi Sadewa, Menkeu Baru Gantikan Sri Mulyani",Ketua Dewan Komisaris Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa dilantik sebagai Menteri Keuangan (Menkeu) menggantikan Sri Mulyani.,https://www.kompas.com/edu/read/2025/09/08/171642571/profil-pendidikan-purbaya-yudhi-sadewa-menkeu-baru-gantikan-sri-mulyani,8 September 2025,2025
kompas,"Profil Purbaya Yudhi Sadewa, Menteri Keuangan yang Baru Dilantik","Purbaya Yudhi Sadewa diangkat sebagai Menteri Keuangan (Menkeu) menggantikan Sri Mulyani dalam reshuffle Kabinet Merah Putih, Senin (8/9/2025).",https://money.kompas.com/read/2025/09/08/160543726/profil-purbaya-yudhi-sadewa-menteri-keuangan-yang-baru-dilantik,8 September 2025,2025
kompas,"Siapa Purbaya Yudhi Sadewa, Menkeu Baru Pengganti Sri Mulyani?",Purbaya Yudhi Sadewa resmi dilantik sebagai Menteri Keuangan (Menkeu) menggantikan Sri Mulyani Indrawati. Siapakah dia? Berikut ini profilnya.,https://www.kompas.com/kalimantan-timur/read/2025/09/09/054500988/siapa-purbaya-yudhi-sadewa-menkeu-baru-pengganti-sri-mulyani-,9 September 2025,2025
kompas,"Profil Purbaya Yudhi Sadewa, Menteri Keuangan Baru Pengganti Sri Mulyani","Lalu, siapa sosok Purbaya Yudhi Sadewa yang kini dipercaya menjabat sebagai Menteri Keuangan menggantikan Sri Mulyani?",https://www.kompas.com/jawa-timur/read/2025/09/08/184500288/profil-purbaya-yudhi-sadewa-menteri-keuangan-baru-pengganti-sri,8 September 2025,2025
