article_id,entity,label,score
0,men,NOR,0.5440499
0,purba,PER,0.55950963
0,menteri perindustrian,NOR,0.9876251
0,agus gumiwang kartasasmita,PER,0.99304205
0,menteri keuangan,NOR,0.9605613
0,purbaya,PER,0.7842646
0,yudhi sadewa,PER,0.9231419
1,purba,PER,0.75274444
1,pertamina,ORG,0.8681981
1,menkeu,NOR,0.70265096
1,purbaya,PER,0.51226026
1,yudhi sadewa,PER,0.8880952
1,pertamina,ORG,0.92831117
2,purba,PER,0.70166063
3,j. b sumarlin,PER,0.9850956
3,menteri purba,NOR,0.51375586
3,##ya,ORG,0.3341853
3,indonesia,GPE,0.96912056
3,j. b sumarlin,PER,0.97133625
4,purbaya,PER,0.6993919
4,purba,PER,0.9341871
4,yudhi sadewa,PER,0.90363044
6,purbaya,PER,0.9621215
6,kcic,ORG,0.7041498
6,menkeu,NOR,0.72754866
6,purbaya,PER,0.7901094
6,yudhi sadewa,PER,0.91711366
6,apbn,LAW,0.9507595
6,kereta cepat,PRD,0.848906
6,kcic,ORG,0.77813023
7,ala friedman,PER,0.80636126
7,purba,PER,0.68809825
8,dedi mulyadi,PER,0.987536
8,purba,PER,0.7131516
8,gubernur,NOR,0.6386504
8,dedi mulyadi,PER,0.9776394
9,menkeu purba,NOR,0.7223197
9,menkeu,NOR,0.86850435
9,purba,PER,0.49002674
9,mb,PER,0.4502882
10,menkeu,NOR,0.64916694
10,purba,PER,0.30253404
10,ri,GPE,0.47629952
10,menteri keuangan,NOR,0.9129374
10,purbaya yudhi sadewa,PER,0.9624522
10,indeks kepercayaan konsumen,PRD,0.8690064
10,ikk,PRD,0.75362736
10,september 2025,DAT,0.99337256
11,5,ORD,0.3613397
11,menke,NOR,0.709875
11,##u,ORG,0.4373437
11,purba,PER,0.29975733
11,##ya,ORG,0.4080826
11,satu bulan,QTY,0.8128809
11,pertama,ORD,0.91736484
11,rabu ( 8 / 10 / 2025 ),DAT,0.99161583
11,satu bulan,QTY,0.8274664
11,purbaya yudhi sadewa,PER,0.9221609
11,menteri keuangan,NOR,0.9238906
12,18,CRD,0.8185484
12,menkeu purba,NOR,0.76956797
12,##ya,ORG,0.36612284
12,menteri keuangan,NOR,0.92633563
12,purbaya,PER,0.7758068
12,yudhi sadewa,PER,0.93432355
12,jakarta,GPE,0.9983929
12,selasa,DAT,0.9921225
13,purba,PER,0.9747165
13,jakarta collaboration fund,ORG,0.79376936
13,pemprov dki,NOR,0.92116356
13,jakarta collaboration fund,ORG,0.77445894
13,apbd,LAW,0.922197
14,luhut,PER,0.9551741
14,menkeu,NOR,0.7452473
14,purbaya,PER,0.42322838
14,bg,ORG,0.2606262
14,##n,PRD,0.75624096
14,kepala dewan ekonomi nasional,NOR,0.856017
14,den,PER,0.39249504
14,luhut binsar pandjaitan,PER,0.8943362
14,menteri keuangan,NOR,0.93323064
14,purbaya yudhi sadewa,PER,0.9599502
14,bg,ORG,0.33912313
14,##n,PRD,0.699064
15,purbaya,PER,0.78120327
15,pemerintah,NOR,0.9407182
15,bunga deposito valas,PRD,0.76116693
15,menteri keuangan,NOR,0.92566884
15,purbaya yudhi sadewa,PER,0.9850617
15,pemerintah,NOR,0.9648192
15,bank,ORG,0.5669244
15,himbara,ORG,0.74325293
16,wamenkeu anggito,ORG,0.7126099
16,lps,ORG,0.7490947
16,wamenkeu,ORG,0.6693464
16,angg,PER,0.34451386
16,##ito,ORG,0.48749375
16,lps,ORG,0.8132899
16,rapat,LOC,0.50678694
16,dpr,NOR,0.523667
16,parlemen,LOC,0.8321581
16,senin ( 22 / 9 / 2025 ),DAT,0.992661
17,purbaya,PER,0.77499425
17,menteri keuangan,NOR,0.8322665
17,purbaya yudhi sadewa,PER,0.9114421
17,indonesia,GPE,0.97884685
18,menkeu,NOR,0.6475017
18,purbaya,PER,0.78435266
18,menteri keuangan,NOR,0.9058932
18,purbaya yudhi,PER,0.9819957
18,ii,ORD,0.3942683
18,2025,DAT,0.57808703
19,menkeu,NOR,0.7702558
19,purbaya,PER,0.4992419
19,rokok,PRD,0.41693792
19,57 persen,PRC,0.9903547
19,menteri keuangan,NOR,0.94093734
19,purbaya,PER,0.96788
19,yudhi sadewa,PER,0.9326681
19,tembakau,PRD,0.5507631
19,rokok,PRD,0.5385493
19,57 persen,PRC,0.9935287
20,tut,PER,0.7560431
20,soeharto,PER,0.6990258
20,menkeu,NOR,0.8109822
20,purbaya,PER,0.72537273
20,purbaya,PER,0.8438175
21,men,NOR,0.53575313
21,##keu,ORG,0.5498259
21,purba,PER,0.31660673
21,##ya,ORG,0.4312867
21,tiga,CRD,0.8866293
21,menteri keuangan,NOR,0.8083426
21,purbaya,PER,0.91519344
21,yudhi sadewa,PER,0.8847778
21,lps,ORG,0.80029494
22,mbg,ORG,0.59455967
22,menkeu,NOR,0.71790296
22,purba,PER,0.46462128
22,##ya,ORG,0.3359834
22,menkeu,NOR,0.78687286
22,purba,PER,0.57983667
22,monev,PER,0.73455524
22,mbg,ORG,0.7394875
23,prabowo,PER,0.9967043
23,purbaya,PER,0.738107
23,sri mulyani,PER,0.9919584
23,purbaya,PER,0.9654596
23,sri mulyani,PER,0.9907271
23,prabowo,PER,0.9952586
24,purbaya,PER,0.96575046
24,menkeu,NOR,0.5239307
24,lps,ORG,0.78700256
24,menteri keuangan (,NOR,0.877914
24,menkeu,NOR,0.8186869
24,purbaya yudhi sadewa,PER,0.9858861
24,ketua lps,ORG,0.61144036
25,menkeu,NOR,0.7876694
25,purba,PER,0.6217444
25,menteri keuangan (,NOR,0.8142864
25,menkeu,NOR,0.84683037
25,purbaya,PER,0.8514953
25,yudhi sadewa,PER,0.8923611
26,menkeu purba,NOR,0.82777643
26,fpbi,NOR,0.7710932
26,pemerintah indonesia,NOR,0.9760177
27,menkeu,NOR,0.6108544
27,purbaya,PER,0.6255193
27,purbaya,PER,0.9093955
28,18,CRD,0.852903
28,menkeu purbaya,NOR,0.8228548
28,18,CRD,0.8799906
28,kantor menteri,LOC,0.49127543
28,keuangan purbaya,ORG,0.45204923
28,yudhi sadewa,PER,0.68733215
28,jakarta,GPE,0.99716836
28,selasa ( 7 / 10 / 2025 ),DAT,0.9958658
29,purbaya,PER,0.94500864
29,18,CRD,0.91537917
29,menteri keuangan,NOR,0.9372259
29,purbaya yudhi sadewa,PER,0.9707357
30,satu jam,QTY,0.8583697
30,pramono,PER,0.98327065
30,menkeu,NOR,0.9308667
30,purbaya,PER,0.83015156
30,gubernur dki jakarta,NOR,0.9918954
30,pramono anung,PER,0.98097986
30,menteri keuangan ri,NOR,0.9948831
30,purbaya yudhi sadewa,PER,0.9939225
30,balai kota jakarta,LOC,0.64557785
31,menkeu purba,NOR,0.5947727
31,##ya,ORG,0.4734273
31,menteri keuangan,NOR,0.917369
31,purbaya,PER,0.88773537
31,yudhi sadewa,PER,0.90792525
32,menkeu,NOR,0.7707484
32,purbaya,PER,0.5708316
32,kepala bgn,ORG,0.8248508
32,mbg,PRD,0.44613755
32,menteri keuangan,NOR,0.9457091
32,purbaya yudhi sadewa,PER,0.93763083
32,bgn,ORG,0.8456572
33,menkeu,NOR,0.90450114
33,purba,PER,0.3253298
33,rokok,PRD,0.36052063
33,202,CRD,0.3041802
33,##6,LAW,0.25156793
33,menkeu purba,NOR,0.825982
33,##ya,PER,0.37629455
33,pemerintah,NOR,0.97290957
34,anggito abimanyu,PER,0.95366627
34,ketua lps,ORG,0.7187961
34,purbaya,PER,0.9736018
34,anggito abimanyu,PER,0.97193855
34,dewan komisioner lembaga penjamin simpanan,ORG,0.8372776
34,lps,ORG,0.72300667
34,2025 – 2030,DAT,0.8977937
35,menkeu,NOR,0.86174935
35,purbaya,PER,0.4774807
35,tutut soeharto,PER,0.63330555
35,ptun,ORG,0.91936433
35,menteri keuangan,NOR,0.9538792
35,purbaya,PER,0.9649176
35,yudhi sadewa,PER,0.9339144
35,siti hardiyanti hastuti rukmana,PER,0.9917149
35,tutut soeharto,PER,0.6847059
36,menkeu,NOR,0.6732581
36,purbaya,PER,0.5385723
36,menkeu,NOR,0.8322521
36,purbaya,PER,0.490696
36,oktober 2025,DAT,0.9874383
37,purbaya yudhi sadewa,PER,0.9351987
37,sri mulyani,PER,0.9899201
37,jokowi,PER,0.9893315
37,presiden ke - 7 republik indonesia,NOR,0.7095526
37,joko widodo,PER,0.9966608
37,jokowi,PER,0.99300414
37,prabowo subianto,PER,0.9921842
38,men,NOR,0.7587332
38,##keu,ORG,0.5328288
38,purbaya,PER,0.59459424
38,saham gorengan,PRD,0.8525594
38,bei,ORG,0.7954285
38,direktur utama bei,ORG,0.79953617
38,iman rachman,PER,0.9916452
39,prasasti,LOC,0.41213536
39,luncheon,PRD,0.39318168
39,talk,WOA,0.42168993
39,men,NOR,0.6262476
39,##keu purba,ORG,0.52584666
39,indonesia,GPE,0.988565
40,purba,PER,0.96287364
40,prabowo,PER,0.9873905
40,men,NOR,0.50320804
40,purba,PER,0.98650265
40,februari 2026,DAT,0.96972084
41,misbakhun,PER,0.8773003
41,apbn 2026,LAW,0.85833365
41,indonesia,GPE,0.92204815
41,as,GPE,0.9759812
41,pemerintah as,NOR,0.7823324
42,menkeu,NOR,0.7049652
42,purbaya,PER,0.46697485
42,bei,ORG,0.57626235
42,saham,PRD,0.79028094
42,menteri keuangan,NOR,0.9051385
42,purbaya,PER,0.93779093
42,yudhi sadewa,PER,0.9560848
42,bei,ORG,0.39682162
42,saham goreng,PRD,0.9294189
43,menkeu,NOR,0.72031015
43,purbaya,PER,0.38723382
43,dollar wni,MON,0.57786804
43,menteri keuangan,NOR,0.91950893
43,purbaya,PER,0.9568765
43,yudhi sadewa,PER,0.9352576
43,dollar wni,MON,0.615413
44,pisau,PRD,0.5575762
44,dua,CRD,0.4095768
45,purbaya,PER,0.9134202
45,rayu,PER,0.7871232
45,prabowo,PER,0.4963099
45,purbaya yudhi sadewa,PER,0.9611481
45,anggaran transfer ke daerah,LAW,0.8444518
45,tkd,LAW,0.7220688
45,anggaran pendapatan dan belanja negara ( apbn ) 2026,LAW,0.8483502
46,tk,LAW,0.4241692
46,202,LAW,0.26330775
46,##6,MON,0.31537682
46,purba,PER,0.97547287
46,menkeu,NOR,0.8415789
46,purbaya,PER,0.6988578
46,pemerintah pusat,NOR,0.9680494
46,tk,LAW,0.51196784
46,202,LAW,0.24974628
46,##6,MON,0.32423854
46,pemerintah,NOR,0.9363512
47,menkeu purba,NOR,0.6649413
47,##ya,ORG,0.513837
47,##n,ORG,0.44826898
47,3,CRD,0.85863006
47,purba,PER,0.85444015
47,##n,ORG,0.3909266
48,kiai,NOR,0.3868623
48,jatim,PER,0.5327575
48,menkeu purbaya,NOR,0.72600925
48,gus maksum,PER,0.9853897
49,purba,PER,0.51751673
49,purba,PER,0.64561963
50,purbaya,PER,0.9381142
50,hotman paris,ORG,0.7940225
50,menteri keuangan,NOR,0.87891316
50,purbaya yudhi sadewa,PER,0.9601137
50,hotman paris,ORG,0.8832459
51,menkeu purba,NOR,0.62595576
51,##ya,ORG,0.3989671
51,bi,ORG,0.9567428
51,menteri keuangan,NOR,0.9324279
51,purbaya yudhi sadewa,PER,0.92109704
51,pemerintah,NOR,0.889702
51,bank indonesia,ORG,0.98447347
51,bi,ORG,0.78792226
52,purba,PER,0.87217945
52,rp 60 triliun,MON,0.9972387
52,"rp 121, 4 triliun",MON,0.99817544
52,meter,PER,0.7136096
52,purba,PER,0.8485047
52,200,CRD,0.93850285
53,menke,NOR,0.5824777
53,##u,ORG,0.52567714
